Timestamp,How would you describe your current feelings about Artificial Intelligence (AI)?,Which stage best describes your current progress on the AI journey?,How would you best describe your familiarity with AI tools and their applications in marketing & communications?,"How often do you currently use AI tools (e.g., ChatGPT, Grammarly, Microsoft Copilot) in your work? Choose the option that most closely reflects your usage.",Which AI tools do you currently use in your work? (Select all that apply),What do you think are the biggest barriers to using AI effectively in your role? (Select up to 2 options),How important is AI to the success of your individual or team work over the next 12 months?,How confident are you today in your ability to use AI tools effectively in your role?,"How do you see AI tools changing the way you work in the future? If you already use AI, what specific tasks or processes do you currently use it for?"
9/8/2025 15:25:21,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Perplexity AI",None; I feel there are no barriers,5,Very Confident,
9/8/2025 15:32:17,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,ChatGPT (OpenAI),"Limited access to AI tools, Too busy ",5,Confident,We have written our use cases. We will be building our custom GPTs during the next 3 months to help us with repeating deliverables.
9/8/2025 16:14:21,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Claud (Anthropic), Gamma, Gemini (Google)",making the time,4,Confident,efficient workflows. strategic thinking and execution. 
9/9/2025 10:43:31,I have both positive and negative feelings about AI,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I am highly knowledgeable and use AI regularly.,Daily,"ChatGPT (OpenAI), Copilot (Microsoft), Gemini (Google), Jasper","I don’t see AI as relevant to my work, I am ready but have been working through personal challenges to fully adopt.",5,Confident,The biggest advantage for me has been to help plan out my 'big picture' ideas and support my work in strategic planning. My greatest setback is finetuning workflows that will help me execute the ideas and actually post content as required in my current job description.
9/9/2025 14:37:08,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,ChatGPT (OpenAI),"Lack of understanding or training, Concerns about accuracy or reliability",5,Very Confident,I use AI for web and email copywriting. We'll prompt it with all the information we know and share guidelines. 
9/10/2025 10:52:15,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Copilot (Microsoft), Grammarly, Jasper","Limited access to AI tools, Concerns about accuracy or reliability, Can we gain access to a library of tools? ChatGPT and Jasper are nice, but Firefly would be great for all marketing folks to access as well as other design tools. Descript would be great as well for those of us generating content. Thanks for everything you're already giving us, it's a game-changer!! ",5,Confident,"AI can offload administrative tasks if we get additional resources - notetaking, WF integration, etc. I think as others become familiar with AI, we'll see less requests for small tasks (in my case email drafting, copywriting, etc.) since people are getting more comfortable generating their own content. This should open up new opportunities for big picture thinking and strategic planning. I use it for writing, editing, reviewing, infusing emotion into content, summarizing, analyzing and organizing. "
9/10/2025 14:17:13,I have both positive and negative feelings about AI,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,At least once per week,"Adobe Firefly, ChatGPT (OpenAI), Descript","Lack of understanding or training, None; I feel there are no barriers",4,Somewhat confident,"I have been using it to escalate the quality of my videos not only getting ideas for more creative videos from GPT but creating assets in firefly to make it visually more attractive. It is knew to me, but i have already used it. I plan on leaning more and more."
9/10/2025 16:00:15,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,ChatGPT (OpenAI),None; I feel there are no barriers,3,Confident,
9/10/2025 16:45:48,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Grammarly",None; I feel there are no barriers,5,Confident,
9/10/2025 16:54:37,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,ChatGPT (OpenAI),None; I feel there are no barriers,5,Confident,"It helps make processes and takes more efficient and less time consuming. It's an asset in my current day-to-day tasks and will only continue optimizing the way I/we do our work, taking us to the next level."
9/11/2025 10:23:22,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Claud (Anthropic), Copilot (Microsoft), Gemini (Google), Grammarly, Jasper",None; I feel there are no barriers,5,Very Confident,"Proofreading templated paid media and copy for resizing wonkiness, image selections for paid media, macros for Word and Excel, summarizing and extracting data from multiple files of varying types, storytelling through data files, creating icons for PPT slides, researching next steps for projects"
9/11/2025 11:33:30,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I am highly knowledgeable and use AI regularly.,Daily,"ChatGPT (OpenAI), Copilot (Microsoft), Gemini (Google), Grammarly, Jasper, Perplexity AI","Limited access to AI tools, None; I feel there are no barriers",5,Very Confident,"I use AI to optimize my work, and enhance what I am doing. It helps me work faster and smarter. "
9/11/2025 12:11:46,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Copilot (Microsoft), Gemini (Google), Grammarly, Grok (xAI), Jasper","Lack of understanding or training, Concerns about accuracy or reliability, I am not ready to make that kind of change to my workflow",3,Somewhat confident,"Ai has proven helpful when creating new content, generating idea, proposing placements and/or styles, and most frequently has been used for proofreading our projects before they are released into the system."
9/11/2025 14:01:13,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I am highly knowledgeable and use AI regularly.,Daily,"ChatGPT (OpenAI), Jasper, Perplexity AI","Concerns about accuracy or reliability, Fear of making mistakes with AI",5,Confident,
9/11/2025 16:44:34,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Copilot (Microsoft), Gemini (Google), Jasper",None; I feel there are no barriers,3,Confident,
9/11/2025 16:58:22,I have both positive and negative feelings about AI,Understanding – I’m learning the fundamentals of AI and starting to see its relevance to my work.,I understand AI tools well and have experimented with them,At least once per month,ChatGPT (OpenAI),Concerns about accuracy or reliability,3,Somewhat confident,
9/12/2025 8:35:03,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"Adobe Firefly, ChatGPT (OpenAI), Gemini (Google), Jasper","None; I feel there are no barriers, Having to manually input insertions from the DLC to WF takes up a good percentage of my workday, so knowing that the team is working on a AI program that is going to help with that gets me really excited because I will be able to refocus that time on other projects.   ",5,Confident,"I use AI for nearly everything—copy, presentations, charts, and reports. I always try it first for whatever task I’m working on; even if it isn’t the perfect fit, I learn something from the experiment. The AI tools we received earlier this year have been a game changer, especially the ability to use agents in ChatGPT. I had a free account before, but once we got the Baptist Health account, the difference was clear. In my experience, the paid version is more detailed and accurate, which even prompted me to subscribe for my personal use."
9/12/2025 9:48:16,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,At least once per month,ChatGPT (OpenAI),None; I feel there are no barriers,3,Somewhat confident,I use it to run subject lines and copy through it to see how I can make those more concise and effective.
9/12/2025 10:11:13,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,Daily,ChatGPT (OpenAI),None; I feel there are no barriers,4,Confident,"AI will help with saving time, money, improve efficiency, provide recommendations, and much more. I currently use AI to help with optimization recommendations, writing content, providing ideas, getting different perspectives on something, and more."
9/12/2025 14:09:27,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Gemini (Google)","Lack of understanding or training, Fear of making mistakes with AI",4,Confident,"I currently use it to help with performance reports, selecting the right social media audiences. "
9/12/2025 14:11:55,I have both positive and negative feelings about AI,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,Daily,"Adobe Firefly, ChatGPT (OpenAI), Perplexity AI","Lack of understanding or training, Concerns about accuracy or reliability",4,Confident,I don't believe certain applications that I would use in my daily tasks are not ready for prime time yet. They need further development. 
9/12/2025 14:12:10,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,ChatGPT (OpenAI),None; I feel there are no barriers,4,Confident,
9/12/2025 14:14:51,Positive,Understanding – I’m learning the fundamentals of AI and starting to see its relevance to my work.,I understand AI tools well and have experimented with them,At least once per week,ChatGPT (OpenAI),"Lack of understanding or training, Concerns about accuracy or reliability",3,Somewhat confident,"The tool I use the most is ChatGPT, I think this will help me work quicker and take away tedious tasks from my plate to help me able to take on other work. "
9/12/2025 14:24:31,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,At least once per week,"ChatGPT (OpenAI), Copilot (Microsoft), Grammarly, Jasper",None; I feel there are no barriers,5,Confident,"I see it making work easier, especially in areas where we may not be the best at, like copywriting."
9/12/2025 14:35:21,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"Adobe Firefly, ChatGPT (OpenAI), Copilot (Microsoft), Gemini (Google), Jasper","None; I feel there are no barriers, With proper training and understanding any role will handle AI.  Not knowing or improper training is what brings fear.  ",5,Confident,emails using chat gpt to write better. I do check wording to ensure it sounds that a human wrote it and edit as needed. 
9/12/2025 14:53:07,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Grammarly",None; I feel there are no barriers,4,Confident,"AI helps streamline tasks when it comes to generating copy, proof checking, and organizing notes and thoughts "
9/12/2025 15:00:37,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I know a bit about them but haven’t used them,Daily,"ChatGPT (OpenAI), Grammarly","I am not ready to make that kind of change to my workflow, I don’t see AI as relevant to my work",4,Confident,
9/12/2025 15:31:05,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Copilot (Microsoft), Grammarly, Grok (xAI)",None; I feel there are no barriers,4,Somewhat confident,
9/12/2025 16:19:54,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I know a bit about them but haven’t used them,Daily,"ChatGPT (OpenAI), Copilot (Microsoft), Gemini (Google), Grammarly",None; I feel there are no barriers,4,Somewhat confident,
9/12/2025 16:55:34,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Gemini (Google)",Time to learn and fully optimize the power of the tools,5,Confident,
